contigName	contigLen	totalAvgDepth	mapped.ERR2597538.sort.bam	mapped.ERR2597538.sort.bam-var
182	18085	9.85704	9.85704	60.3379
183	18043	25.7934	25.7934	37.0499
184	18013	8.34753	8.34753	10.3183
185	18010	8.70901	8.70901	11.5876
186	18008	10.116	10.116	21.6065
187	17946	23.873	23.873	74.1878
188	17928	8.12172	8.12172	8.30598
189	17909	7.75736	7.75736	11.0557
190	17878	7.17069	7.17069	9.74636
191	17867	45.0944	45.0944	89.0417
192	17830	7.51171	7.51171	10.6689
193	17797	7.21216	7.21216	8.77943
194	17727	8.48302	8.48302	10.5997
195	17715	23.9214	23.9214	47.3407
196	17709	7.12615	7.12615	8.23549
197	17699	8.08622	8.08622	9.75981
198	17614	11.1524	11.1524	16.6762
199	17609	18.5925	18.5925	32.4037
200	17580	8.08956	8.08956	11.5123
201	17542	38.5018	38.5018	137.055
202	17522	8.25029	8.25029	13.5869
203	17396	8.18114	8.1812	11.1391
204	17393	19.8848	19.8848	29.1501
205	17377	8.91119	8.91119	13.8379
206	17305	8.34305	8.34305	9.88601
207	17274	8.94154	8.94154	11.3992
208	17226	8.66456	8.66456	13.0003
209	17201	34.1801	34.1801	58.9936
210	17144	76.1438	76.1438	188.81
211	17116	9.11405	9.11405	11.0964
212	17105	7.90304	7.90304	11.8622
213	17099	22.7197	22.7197	1888.82
214	17080	21.295	21.295	35.7561
215	17079	14.8204	14.8204	23.102
216	17017	7.84828	7.84828	10.1498
217	17015	16.906	16.906	45.7019
218	16987	10.6357	10.6357	15.0771
219	16983	7.83907	7.83907	8.30682
220	16970	8.71522	8.71522	11.2983
221	16959	7.23047	7.23047	8.30182
222	16939	7.96545	7.96545	11.3756
223	16930	45.8955	45.8955	81.7193
224	16821	43.8499	43.8499	63.1893
225	16800	7.9188	7.9188	9.78384
226	16788	20.0595	20.0595	31.5577
227	16732	11.1768	11.1768	17.0552
228	16712	7.91324	7.91324	10.8305
229	16661	37.1434	37.1434	163.801
230	16621	7.50143	7.50143	10.2787
231	16587	6.88885	6.88885	6.99334
232	16583	7.46254	7.46254	8.86823
233	16557	11.9622	11.9622	15.7408
234	16552	15.4468	15.4468	22.2702
235	16523	7.76718	7.76718	9.58705
236	16481	7.86853	7.86853	12.4089
237	16439	7.56418	7.56418	8.00649
238	16430	8.3051	8.3051	12.8197
239	16419	7.76298	7.76298	8.08159
240	16375	7.91322	7.91322	9.30084
241	16375	8.32992	8.32992	11.2017
242	16368	18.0643	18.0643	48.5748
243	16353	8.68858	8.68858	12.5129
244	16310	21.31	21.31	38.9276
245	16263	11.8254	11.8254	17.8784
246	16211	8.31113	8.31113	9.80922
247	16205	13.632	13.632	20.4416
248	16192	9.19985	9.19985	13.7471
249	16159	6.96446	6.96446	9.27992
250	16144	7.79999	7.79999	12.4968
251	16142	39.0499	39.0499	72.8319
252	16071	7.77156	7.77156	9.00803
253	16067	10.2194	10.2194	17.325
254	16066	9.18654	9.18654	15.0021
255	16029	16.4021	16.4021	24.0136
256	16003	13.1612	13.1612	24.5673
257	15953	28.4802	28.4802	70.4753
258	15921	46.6998	46.6998	67.0018
259	15859	7.33732	7.33732	9.6448
260	15844	11.6613	11.6613	19.67
261	15783	11.6281	11.6281	20.8865
262	15761	8.07078	8.07078	11.3301
263	15727	39.5054	39.5054	51.8381
264	15724	6.86111	6.86111	7.46507
265	15711	8.69835	8.69835	10.6792
266	15691	12.0452	12.0452	17.8777
267	15665	8.96887	8.96887	11.0073
268	15655	8.35634	8.35634	9.09779
269	15646	7.10454	7.10454	9.87236
270	15623	9.33154	9.33154	12.8233
271	15594	43.1502	43.1502	99.0055
272	15573	8.13389	8.13389	8.36718
273	15473	14.6243	14.6243	22.9055
274	15469	8.86664	8.86664	12.0267
275	15466	47.9896	47.9896	67.6974
276	15450	8.99993	8.99993	9.97694
277	15389	6.09883	6.09883	8.93862
278	15384	39.4811	39.4811	144.329
279	15382	12.3892	12.3892	17.3052
280	15275	20.5006	20.5006	31.6662
281	15272	19.7434	19.7434	33.132
282	15253	8.39449	8.39449	10.2016
283	15206	9.36783	9.36783	11.8393
284	15161	8.57431	8.57431	14.2825
285	15144	7.26404	7.26404	8.35618
286	15126	7.57933	7.57933	9.039
287	15105	26.8496	26.8496	56.2505
288	15103	9.13803	9.13803	16.1473
289	15066	9.81476	9.81476	13.6763
290	15061	10.6013	10.6013	14.7873
291	15048	20.9111	20.9111	24.6366
292	15034	35.1944	35.1944	62.1625
293	15027	18.0366	18.0366	24.4224
294	15014	11.5081	11.5081	41.3292
295	15013	9.19007	9.19007	9.73763
296	14964	13.098	13.098	19.3224
297	14954	10.9235	10.9235	18.2626
298	14930	44.1035	44.1035	78.0789
299	14918	20.4013	20.4013	33.67
300	14875	7.77643	7.77643	9.20273
301	14872	8.16594	8.16594	8.61202
302	14858	20.4225	20.4225	91.7257
303	14857	8.88081	8.88087	9.71016
304	14855	9.07746	9.07746	12.9686
305	14855	8.64665	8.64665	11.0324
306	14745	11.2466	11.2466	16.7704
307	14722	22.4839	22.4839	65.6176
308	14715	20.0429	20.0429	32.5102
309	14699	8.85449	8.85449	9.22991
310	14697	16.3973	16.3973	22.0466
311	14692	7.90249	7.90249	11.6938
312	14680	7.72663	7.72663	9.29805
313	14675	8.35849	8.35855	9.82917
314	14648	12.1965	12.1965	16.163
315	14646	7.48351	7.48351	12.7311
316	14637	7.957	7.957	11.9734
317	14635	9.75879	9.75879	14.5016
318	14592	14.5206	14.5206	28.6423
319	14574	8.08604	8.08604	11.3878
320	14548	7.39117	7.39117	10.4887
321	14543	10.6926	10.6926	40.7206
322	14539	8.93488	8.93495	10.4857
323	14521	9.02582	9.02582	12.9261
324	14519	8.51145	8.51152	10.5404
325	14516	8.61186	8.61186	12.1222
326	14499	21.3146	21.3146	23.7656
327	14489	9.33524	9.33524	12.6666
328	14451	8.19118	8.19125	9.92054
329	14429	8.47882	8.47882	8.44396
330	14420	7.67863	7.67863	10.9844
331	14405	7.91189	7.91189	13.0878
332	14382	20.8692	20.8692	35.9151
333	14377	7.30126	7.30126	8.34291
334	14355	8.72876	8.72883	10.9099
335	14332	8.68841	8.68841	12.8061
336	14331	7.7649	7.7649	10.286
337	14306	18.953	18.953	31.908
338	14246	19.0622	19.0622	26.167
339	14243	7.50628	7.50628	12.9208
340	14223	8.4682	8.46827	14.6079
341	14194	18.7707	18.7707	27.3319
342	14190	8.72493	8.72493	11.7333
343	14179	7.64153	7.64153	10.1119
344	14169	19.7094	19.7094	34.0294
345	14168	13.0703	13.0703	28.6371
346	14146	8.49543	8.49543	11.3748
347	14143	22.8493	22.8493	79.4688
348	14135	12.0299	12.0299	19.0016
349	14112	8.7052	8.7052	22.4285
350	14109	8.1268	8.12687	9.25731
351	14103	21.1133	21.1133	45.4308
352	14086	8.18506	8.18506	11.5102
353	14083	8.93253	8.93253	15.614
354	14067	13.9898	13.9898	29.1276
355	14022	8.50231	8.50238	13.6675
356	14015	14.1564	14.1564	26.8755
357	14007	7.49397	7.49397	11.2605
358	14006	7.41029	7.41029	9.49841
359	13983	16.1034	16.1034	27.3417
360	13976	8.83806	8.83806	12.2363
361	13951	8.06463	8.06463	8.71849
362	13947	21.734	21.734	57.2856
363	13940	7.24677	7.24677	8.07963
364	13933	9.53327	9.53327	13.389
365	13930	8.30239	8.30239	10.7136
366	13925	6.99964	6.99964	11.6895
367	13921	9.29083	9.29083	17.5
368	13913	9.03117	9.03117	11.7961
369	13874	7.82221	7.82221	11.5438
370	13860	18.1518	18.1518	48.7134
371	13859	13.5101	13.5101	20.9605
372	13839	8.20257	8.20257	9.22623
373	13830	12.3457	12.3457	13.4247
374	13820	7.23299	7.23299	9.27588
375	13804	21.8857	21.8857	29.0756
376	13803	11.4463	11.4463	17.1647
377	13776	20.2591	20.2591	37.3597
378	13736	64.5317	64.5317	104.903
379	13728	128.78	128.78	315.123
380	13712	8.89544	8.89544	14.4812
381	13701	9.40742	9.40742	21.0316
382	13685	6.71888	6.71888	11.0195
383	13682	18.4134	18.4135	159.76
384	13671	8.22299	8.22299	9.1869
385	13660	6.3282	6.3282	6.60943
386	13640	37.8711	37.8712	190.677
387	13625	9.98954	9.98954	15.2391
388	13593	6.96511	6.96511	9.17657
389	13558	21.7382	21.7382	26.5195
390	13549	12.7702	12.7702	14.9449
391	13535	8.5108	8.51087	9.79679
392	13506	8.25943	8.25943	10.4468
393	13497	12.9414	12.9414	16.9313
394	13460	9.97415	9.97415	15.9153
395	13455	7.29402	7.29402	11.1197
396	13453	7.61543	7.61543	11.6026
397	13450	17.4171	17.4171	29.8407
398	13445	8.2792	8.2792	12.1716
399	13432	9.61467	9.61467	11.9896
400	13404	7.25539	7.25539	9.72843
401	13386	8.53158	8.53158	11.7226
402	13365	19.8446	19.8446	37.432
403	13362	11.0806	11.0806	17.7641
404	13358	6.60637	6.60637	8.32179
405	13354	22.8909	22.8909	28.3195
406	13349	7.56686	7.56686	9.04889
407	13339	67.4762	67.4762	164.174
408	13280	9.72468	9.72468	12.3623
409	13267	37.3468	37.3468	85.0448
410	13261	9.05179	9.05179	12.878
411	13234	8.96179	8.96179	15.1685
412	13213	8.4548	8.4548	10.3817
413	13198	8.83837	8.83837	12.646
414	13175	7.01106	7.01106	9.93035
415	13173	8.11341	8.11349	10.5205
416	13169	10.4055	10.4055	16.2566
417	13155	8.03329	8.03329	9.11177
418	13152	38.8263	38.8263	64.4129
419	13150	7.91385	7.91385	12.5935
420	13147	10.2462	10.2462	26.989
421	13143	19.8752	19.8752	33.165
422	13141	8.91009	8.91009	11.1762
423	13138	12.7788	12.7788	18.1348
424	13118	8.57603	8.57603	13.5894
425	13113	11.3758	11.3758	13.2775
426	13097	12.8258	12.8258	18.8676
427	13083	8.47862	8.47862	10.658
428	13078	7.3791	7.3791	11.5153
429	13041	13.444	13.444	18.2847
430	13035	13.7707	13.7707	17.4811
431	13023	7.60817	7.60817	11.5937
432	12995	8.25566	8.25566	9.90145
433	12971	8.95999	8.95999	12.3512
434	12967	11.509	11.509	29.8444
435	12967	8.00265	8.00265	12.0325
436	12964	9.27353	9.27353	10.1858
437	12960	7.73614	7.73614	10.668
438	12917	68.3442	68.3442	5519.82
439	12898	8.16724	8.16724	10.5256
440	12889	9.43795	9.43795	10.0899
441	12877	8.09554	8.09554	10.5404
442	12872	26.3598	26.3598	43.4701
443	12849	8.47894	8.47894	10.3363
444	12842	11.0092	11.0092	31.0206
445	12830	11.2402	11.2402	20.0772
446	12806	13.5024	13.5024	20.5815
447	12806	10.5287	10.5287	12.1454
448	12804	11.1783	11.1783	20.3727
449	12782	11.6245	11.6245	13.6177
450	12766	44.4885	44.4885	232.996
451	12754	23.1455	23.1455	38.2274
452	12742	8.94147	8.94147	24.4371
453	12736	8.40934	8.40934	9.598
454	12726	6.06966	6.06966	6.929
455	12717	7.58534	7.58534	9.34237
456	12690	10.9977	10.9977	16.4903
457	12687	8.0611	8.0611	7.83333
458	12687	7.55763	7.55763	9.59277
459	12684	13.8183	13.8183	21.8425
460	12674	17.4378	17.4378	21.4184
461	12673	17.0763	17.0763	37.8557
462	12657	17.7604	17.7604	27.1008
463	12652	7.07191	7.07191	6.45145
464	12617	8.64001	8.64001	14.0119
465	12616	7.51524	7.51524	10.3835
466	12604	7.70002	7.70002	12.1359
467	12591	8.24572	8.24572	12.1154
468	12585	11.076	11.076	18.4671
469	12584	9.27304	9.27304	16.7803
470	12583	9.75276	9.75276	10.92
471	12564	21.2166	21.2166	36.8128
472	12564	8.31529	8.31529	14.557
473	12561	8.26436	8.26436	9.10027
474	12552	6.73512	6.73512	7.70617
475	12550	10.951	10.951	13.9243
476	12550	6.6025	6.6025	7.43505
477	12549	12.4803	12.4803	46.66
478	12541	11.0069	11.0069	14.6027
479	12536	7.59446	7.59446	10.92
480	12518	8.78509	8.78509	10.7419
481	12517	8.70268	8.70268	13.3055
482	12503	31.4802	31.4802	46.0807
483	12493	11.374	11.374	16.3287
484	12493	8.6786	8.6786	10.6488
485	12490	8.39076	8.39084	11.0639
486	12482	8.13112	8.13112	11.7983
487	12481	44.3138	44.3138	73.1117
488	12479	14.0225	14.0225	245.545
489	12478	19.3939	19.3939	30.0935
490	12476	7.46357	7.46357	8.85382
491	12474	13.8209	13.8209	24.3529
492	12466	8.85499	8.85499	10.2741
493	12453	8.83557	8.83565	20.3124
494	12451	16.5177	16.5177	68.3019
495	12443	8.77093	8.77093	15.31
496	12418	19.2174	19.2174	33.8344
497	12403	13.3136	13.3136	25.599
498	12401	6.42095	6.42095	8.13998
499	12394	6.13239	6.13239	7.68073
500	12391	14.4167	14.4167	26.0296
501	12386	38.4304	38.4304	61.7878
502	12383	11.1319	11.1319	13.2143
503	12366	20.4854	20.4854	64.8795
504	12365	6.21179	6.21179	8.91445
505	12362	8.3124	8.3124	10.2222
506	12360	8.17322	8.17322	9.75884
507	12346	8.88619	8.88619	12.6587
508	12340	13.5493	13.5493	19.7206
509	12339	14.5781	14.5781	32.9027
510	12325	6.46834	6.46834	7.40756
511	12314	10.3459	10.346	15.6359
512	12286	7.78955	7.78955	9.52407
513	12280	7.01393	7.01393	7.49324
514	12277	9.77389	9.77389	15.9165
515	12270	6.93556	6.93556	7.71206
516	12269	87.5135	87.5135	739.523
517	12261	13.3825	13.3825	16.5064
518	12260	13.7992	13.7992	21.0474
519	12253	7.67967	7.67967	11.7197
520	12249	8.26977	8.26977	11.4189
521	12241	15.2096	15.2096	23.2233
522	12237	7.77083	7.77083	12.6115
523	12236	135.184	135.184	351.037
524	12224	63.3443	63.3443	226.387
525	12200	7.69444	7.69444	8.798
526	12194	39.6627	39.6627	61.7213
527	12194	24.8245	24.8245	77.2599
528	12193	20.496	20.496	38.3695
529	12184	24.8813	24.8813	37.0888
530	12184	7.73076	7.73076	9.23891
531	12178	8.62305	8.62313	9.20519
532	12171	7.94144	7.94144	10.2265
533	12166	12.8593	12.8593	20.1907
534	12164	8.58965	8.58965	10.8757
535	12163	8.60235	8.60235	11.8051
536	12158	15.8445	15.8445	30.0526
537	12148	8.56568	8.56576	12.9064
538	12147	7.99233	7.99233	9.41135
539	12135	7.91089	7.91089	10.4137
540	12129	9.65172	9.65172	18.0409
541	12115	6.53932	6.53932	7.53945
542	12102	7.06986	7.06986	7.91144
543	12090	21.9493	21.9493	86.7488
544	12087	8.86454	8.86454	15.0503
545	12064	8.36822	8.36822	9.98103
546	12036	11.4584	11.4584	14.8582
547	12019	17.581	17.5811	38.9082
548	12019	8.5163	8.5163	14.6911
549	12019	6.36473	6.36473	6.2725
550	12004	12.9446	12.9446	21.2532
551	11999	13.2572	13.2572	19.1123
552	11991	9.47074	9.47082	13.0677
553	11988	13.4614	13.4614	13.4367
554	11985	10.7605	10.7606	15.0461
555	11973	39.6555	39.6555	57.1156
556	11970	9.12572	9.12572	15.1534
557	11957	7.66088	7.66088	7.42273
558	11954	8.77618	8.77618	10.0499
559	11947	21.3067	21.3068	53.643
560	11935	8.52592	8.52592	11.8222
561	11933	20.3137	20.3137	84.8898
562	11916	7.72633	7.72633	11.2321
563	11915	8.42847	8.42847	9.25895
564	11910	8.57372	8.57372	7.61184
565	11907	6.41516	6.41516	8.26062
566	11905	19.2895	19.2895	33.1294
567	11899	25.2531	25.2531	204.823
568	11893	22.8245	22.8245	46.414
569	11888	23.0313	23.0313	29.3875
570	11887	24.2867	24.2867	46.8728
571	11883	26.6359	26.6359	41.7717
572	11867	127.891	127.891	901.953
573	11867	11.8318	11.8318	16.0822
574	11865	9.74076	9.74084	11.3446
575	11863	16.5166	16.5166	22.922
576	11855	6.47621	6.47621	7.0502
577	11845	11.8679	11.8679	16.5757
578	11831	6.77305	6.77305	7.91524
579	11822	18.7005	18.7005	32.4234
580	11813	8.2742	8.2742	9.75352
581	11811	20.6203	20.6203	37.9173
582	11806	40.4006	40.4006	53.5413
583	11805	7.96791	7.96791	8.08063
584	11782	14.1539	14.1539	40.7132
585	11781	7.37967	7.37967	9.50888
586	11780	31.2807	31.2807	59.8887
587	11778	8.1689	8.1689	13.1886
588	11749	8.22217	8.22217	13.639
589	11749	8.15131	8.15139	11.18
590	11737	8.20644	8.20644	10.9678
591	11735	7.53423	7.53423	8.52013
592	11715	7.09486	7.09486	6.65303
593	11709	8.11022	8.11022	7.99813
594	11707	8.63087	8.63087	9.59555
595	11706	17.7025	17.7025	23.0566
596	11706	12.5753	12.5753	29.8281
597	11704	21.0846	21.0846	23.5159
598	11695	44.7441	44.7442	86.2818
599	11694	10.9809	10.9809	11.8625
600	11694	10.5661	10.5661	12.5721
601	11688	8.71217	8.71217	10.3374
602	11680	8.55455	8.55455	9.25091
603	11676	16.8935	16.8936	29.357
604	11675	21.4916	21.4916	28.8333
605	11673	7.9068	7.9068	10.4468
606	11664	35.6468	35.6468	58.7388
607	11660	13.7503	13.7503	20.2441
608	11654	14.13	14.13	21.8932
609	11639	6.96292	6.96292	7.44177
610	11628	8.05428	8.05428	14.4559
611	11624	6.43193	6.43193	7.64187
612	11617	21.263	21.263	30.047
613	11602	19.9248	19.9248	24.7727
614	11602	7.94848	7.94848	9.26897
615	11598	6.54429	6.54429	8.46071
616	11593	6.97335	6.97335	6.7342
617	11590	11.2215	11.2215	11.2344
618	11588	9.17398	9.17407	13.4201
619	11583	9.28916	9.28916	12.6555
620	11581	14.6196	14.6196	29.6647
621	11573	20.3878	20.3878	30.2883
622	11573	12.7983	12.7983	17.2116
623	11567	28.1831	28.1831	59.3197
624	11538	19.5609	19.5609	26.3235
625	11536	8.10768	8.10768	11.0268
626	11525	17.3815	17.3815	69.0795
627	11519	10.5476	10.5476	18.8668
628	11514	19.8453	19.8453	26.801
629	11500	70.2121	70.2121	149.865
630	11497	33.0063	33.0064	69.831
631	11494	8.75441	8.75441	15.1398
632	11493	7.75703	7.75703	9.60511
633	11487	22.112	22.112	38.5805
634	11486	42.5464	42.5464	64.0455
635	11482	8.41484	8.41484	19.5877
636	11481	12.4132	12.4132	25.1823
637	11480	79.3848	79.3848	287.161
638	11478	8.56612	8.56612	10.5005
639	11471	29.7358	29.7358	54.523
640	11463	6.31397	6.31397	6.79659
641	11450	7.74823	7.74823	9.96989
642	11435	10.6297	10.6297	20.4253
643	11431	19.2728	19.2728	31.2228
644	11423	6.99965	6.99965	9.71229
645	11403	13.7316	13.7316	25.6486
646	11402	7.57705	7.57705	12.3323
647	11397	7.64648	7.64648	9.79032
648	11394	9	9	11.3393
649	11391	13.9046	13.9046	96.0622
650	11389	7.35368	7.35368	9.12639
651	11387	10.1849	10.1849	15.0062
652	11380	9.08281	9.08281	13.2636
653	11379	8.86188	8.86188	11.0478
654	11360	8.57743	8.57743	8.23885
655	11353	12.8849	12.8849	25.3517
656	11348	7.24147	7.24147	10.2562
657	11346	14.5708	14.5708	22.6944
658	11343	25.5172	25.5172	49.7526
659	11340	29.8561	29.8561	61.7954
660	11337	11.026	11.026	21.2388
661	11334	10.1273	10.1273	12.1405
662	11333	6.53125	6.53125	6.69656
663	11323	17.3804	17.3804	237.538
664	11320	7.36419	7.36419	12.1814
665	11315	18.7976	18.7976	44.7101
666	11312	18.9645	18.9645	32.2919
667	11311	36.1589	36.1589	115.078
668	11301	6.96341	6.96341	7.1966
669	11300	13.9	13.9	21.8341
670	11289	7.82395	7.82395	8.83248
671	11275	7.89267	7.89267	10.7464
672	11270	8.79757	8.79757	12.4623
673	11269	7.2601	7.2601	7.18341
674	11267	14.5622	14.5622	19.0312
675	11265	21.0946	21.0946	38.7182
676	11265	12.9409	12.9409	19.3797
677	11261	5.05949	5.05949	5.15572
678	11250	9.08784	9.08784	14.3718
679	11249	17.4773	17.4773	25.2098
680	11247	7.46553	7.46553	15.8333
681	11241	11.1152	11.1152	15.9509
682	11239	21.7899	21.7899	34.6587
683	11221	8.9132	8.9132	11.9145
684	11220	8.20434	8.20434	8.64102
685	11219	22.9919	22.9919	38.4432
686	11210	11.3596	11.3596	14.355
687	11208	8.75927	8.75927	11.8488
688	11199	9.24563	9.24563	15.6135
689	11193	7.26035	7.26035	9.8838
690	11190	21.1872	21.1872	28.073
691	11189	42.255	42.255	105.295
692	11186	20.555	20.555	38.5806
693	11180	14.1268	14.1268	18.3622
694	11172	7.97786	7.97786	10.9429
695	11165	12.7254	12.7254	17.868
696	11155	14.0841	14.0841	21.9709
697	11149	73.8676	73.8676	154.428
698	11146	6.75318	6.75318	7.3536
699	11129	8.86702	8.86702	9.99939
700	11127	7.86198	7.86198	11.1983
701	11118	6.87965	6.87965	8.18051
702	11114	7.62176	7.62176	10.1783
