genome,completeness,contamination
scaffolds_gt1000bp_ERR2597524.bin.50.fa,9.8,0.0
scaffolds_gt1000bp_ERR2597524.bin.51.fa,30.0,0.34
scaffolds_gt1000bp_ERR2597524.bin.52.fa,73.58,2.64
scaffolds_gt1000bp_ERR2597524.bin.53.fa,22.63,1.29
scaffolds_gt1000bp_ERR2597524.bin.54.fa,86.84,6.75
scaffolds_gt1000bp_ERR2597524.bin.55.fa,43.64,0.69
scaffolds_gt1000bp_ERR2597524.bin.56.fa,7.56,0.01
scaffolds_gt1000bp_ERR2597524.bin.57.fa,68.25,2.46
scaffolds_gt1000bp_ERR2597524.bin.58.fa,89.27,1.36
scaffolds_gt1000bp_ERR2597524.bin.59.fa,5.64,0.0
scaffolds_gt1000bp_ERR2597524.bin.6.fa,61.56,8.65
scaffolds_gt1000bp_ERR2597524.bin.60.fa,8.48,0.0
scaffolds_gt1000bp_ERR2597524.bin.61.fa,56.4,0.29
scaffolds_gt1000bp_ERR2597524.bin.62.fa,58.92,7.61
scaffolds_gt1000bp_ERR2597524.bin.63.fa,71.52,0.07
scaffolds_gt1000bp_ERR2597524.bin.64.fa,55.85,0.48
scaffolds_gt1000bp_ERR2597524.bin.65.fa,43.48,29.34
scaffolds_gt1000bp_ERR2597524.bin.66.fa,24.78,0.57
scaffolds_gt1000bp_ERR2597524.bin.67.fa,53.12,2.72
scaffolds_gt1000bp_ERR2597524.bin.68.fa,92.96,57.08
scaffolds_gt1000bp_ERR2597524.bin.69.fa,87.64,2.47
scaffolds_gt1000bp_ERR2597524.bin.7.fa,50.28,0.24
scaffolds_gt1000bp_ERR2597524.bin.70.fa,45.79,0.6
scaffolds_gt1000bp_ERR2597524.bin.71.fa,85.3,0.48
scaffolds_gt1000bp_ERR2597524.bin.72.fa,5.56,0.0
scaffolds_gt1000bp_ERR2597524.bin.73.fa,66.37,5.82
scaffolds_gt1000bp_ERR2597524.bin.74.fa,46.21,0.41
scaffolds_gt1000bp_ERR2597524.bin.75.fa,39.15,0.05
scaffolds_gt1000bp_ERR2597524.bin.76.fa,39.1,1.78
scaffolds_gt1000bp_ERR2597524.bin.77.fa,12.44,0.0
scaffolds_gt1000bp_ERR2597524.bin.78.fa,40.19,0.68
scaffolds_gt1000bp_ERR2597524.bin.79.fa,10.99,0.0
scaffolds_gt1000bp_ERR2597524.bin.8.fa,35.33,1.32
scaffolds_gt1000bp_ERR2597524.bin.80.fa,8.87,0.0
scaffolds_gt1000bp_ERR2597524.bin.81.fa,13.09,0.0
scaffolds_gt1000bp_ERR2597524.bin.82.fa,94.42,1.43
scaffolds_gt1000bp_ERR2597524.bin.83.fa,28.5,2.05
scaffolds_gt1000bp_ERR2597524.bin.84.fa,67.68,2.69
scaffolds_gt1000bp_ERR2597524.bin.85.fa,18.2,0.06
scaffolds_gt1000bp_ERR2597524.bin.86.fa,9.48,0.0
scaffolds_gt1000bp_ERR2597524.bin.87.fa,7.91,0.09
scaffolds_gt1000bp_ERR2597524.bin.88.fa,10.34,0.0
scaffolds_gt1000bp_ERR2597524.bin.89.fa,19.0,0.0
scaffolds_gt1000bp_ERR2597524.bin.9.fa,15.75,0.12
scaffolds_gt1000bp_ERR2597524.bin.90.fa,19.96,0.01
scaffolds_gt1000bp_ERR2597524.bin.91.fa,83.42,39.36
scaffolds_gt1000bp_ERR2597524.bin.92.fa,62.93,2.9
scaffolds_gt1000bp_ERR2597524.bin.93.fa,24.07,0.02
scaffolds_gt1000bp_ERR2597524.bin.94.fa,17.01,0.12
scaffolds_gt1000bp_ERR2597524.bin.95.fa,70.72,27.85
scaffolds_gt1000bp_ERR2597524.bin.96.fa,34.31,24.22
scaffolds_gt1000bp_ERR2597524.bin.97.fa,25.23,0.06
scaffolds_gt1000bp_ERR2597524.bin.98.fa,31.75,0.0
scaffolds_gt1000bp_ERR2597524.bin.99.fa,46.82,0.09
