Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
scaffolds_gt1000bp_ERR2597524.bin.108	100.0	1.53	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.109	76.32	1.23	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.11	55.94	0.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.110	57.01	1.71	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.111	32.12	0.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.112	48.44	3.23	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.113	11.26	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.114	15.11	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.115	7.13	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.116	24.69	2.6	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.117	35.91	1.92	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.118	34.93	3.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.119	46.37	2.77	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.12	60.27	3.59	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.120	18.26	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.121	24.04	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.122	34.45	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.123	26.35	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.13	31.72	0.26	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.14	35.12	1.42	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.15	83.65	9.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.16	18.28	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.17	81.01	26.01	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.18	37.51	0.46	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.19	26.8	0.68	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.2	8.74	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.20	46.69	10.37	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.21	41.97	2.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.22	28.24	0.76	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.23	48.59	1.39	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.24	15.25	0.76	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.25	87.88	3.26	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.26	91.9	1.11	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.27	79.51	26.91	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.28	100.0	111.44	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.29	20.47	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.3	66.93	2.55	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.30	43.25	1.03	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.31	78.94	10.01	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.32	37.41	2.11	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.33	43.8	0.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.34	10.76	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.35	53.65	4.37	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.36	8.8	0.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.37	79.87	2.43	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.38	68.83	1.97	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.39	59.73	5.28	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.4	75.07	2.8	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.40	81.05	1.55	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.41	13.29	0.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.42	69.77	6.95	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.43	31.03	0.66	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.44	39.37	0.78	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.45	49.27	1.32	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.46	11.62	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.47	51.97	12.45	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.48	51.25	1.12	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.49	52.79	0.63	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.5	24.52	0.19	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.50	9.8	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.51	30.0	0.34	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.52	73.58	2.64	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.53	22.63	1.29	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.54	86.84	6.75	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.55	43.64	0.69	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.56	7.56	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.57	68.25	2.46	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.58	89.27	1.36	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.59	5.64	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.6	61.56	8.65	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.60	8.48	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.61	56.4	0.29	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.62	58.92	7.61	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.63	71.52	0.07	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.64	55.85	0.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.65	43.48	29.34	Gradient Boost (General Model)	11	Low confidence prediction - substantial (29%) disagreement between completeness prediction models
scaffolds_gt1000bp_ERR2597524.bin.66	24.78	0.57	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.67	53.12	2.72	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.68	92.96	57.08	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.69	87.64	2.47	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.7	50.28	0.24	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.70	45.79	0.6	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.71	85.3	0.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.72	5.56	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.73	66.37	5.82	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.74	46.21	0.41	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.75	39.15	0.05	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.76	39.1	1.78	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.77	12.44	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.78	40.19	0.68	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.79	10.99	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.8	35.33	1.32	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.80	8.87	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.81	13.09	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.82	94.42	1.43	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.83	28.5	2.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.84	67.68	2.69	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.85	18.2	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.86	9.48	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.87	7.91	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.88	10.34	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.89	19.0	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.9	15.75	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.90	19.96	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.91	83.42	39.36	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.92	62.93	2.9	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.93	24.07	0.02	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.94	17.01	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.95	70.72	27.85	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.96	34.31	24.22	Gradient Boost (General Model)	11	Low confidence prediction - substantial (60%) disagreement between completeness prediction models
scaffolds_gt1000bp_ERR2597524.bin.97	25.23	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.98	31.75	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597524.bin.99	46.82	0.09	Neural Network (Specific Model)	11	None
