genome,completeness,contamination
scaffolds_gt1000bp_ERR2597525.bin.161.fa,30.1,0.14
scaffolds_gt1000bp_ERR2597525.bin.162.fa,74.48,8.2
scaffolds_gt1000bp_ERR2597525.bin.163.fa,87.83,8.36
scaffolds_gt1000bp_ERR2597525.bin.164.fa,82.29,2.42
scaffolds_gt1000bp_ERR2597525.bin.165.fa,71.26,6.82
scaffolds_gt1000bp_ERR2597525.bin.166.fa,86.32,2.02
scaffolds_gt1000bp_ERR2597525.bin.167.fa,27.82,12.9
scaffolds_gt1000bp_ERR2597525.bin.168.fa,10.57,0.01
scaffolds_gt1000bp_ERR2597525.bin.169.fa,35.47,33.16
scaffolds_gt1000bp_ERR2597525.bin.17.fa,36.63,0.23
scaffolds_gt1000bp_ERR2597525.bin.170.fa,51.63,0.19
scaffolds_gt1000bp_ERR2597525.bin.171.fa,13.95,0.0
scaffolds_gt1000bp_ERR2597525.bin.172.fa,54.54,2.12
scaffolds_gt1000bp_ERR2597525.bin.173.fa,66.43,1.09
scaffolds_gt1000bp_ERR2597525.bin.174.fa,11.01,0.0
scaffolds_gt1000bp_ERR2597525.bin.175.fa,11.36,0.03
scaffolds_gt1000bp_ERR2597525.bin.176.fa,13.43,0.01
scaffolds_gt1000bp_ERR2597525.bin.177.fa,96.27,8.15
scaffolds_gt1000bp_ERR2597525.bin.178.fa,13.21,0.01
scaffolds_gt1000bp_ERR2597525.bin.179.fa,7.15,0.83
scaffolds_gt1000bp_ERR2597525.bin.18.fa,65.62,2.36
scaffolds_gt1000bp_ERR2597525.bin.180.fa,4.89,0.01
scaffolds_gt1000bp_ERR2597525.bin.181.fa,7.81,0.25
scaffolds_gt1000bp_ERR2597525.bin.182.fa,67.62,0.06
scaffolds_gt1000bp_ERR2597525.bin.183.fa,80.73,2.55
scaffolds_gt1000bp_ERR2597525.bin.184.fa,54.53,3.53
scaffolds_gt1000bp_ERR2597525.bin.185.fa,44.86,0.16
scaffolds_gt1000bp_ERR2597525.bin.186.fa,16.6,0.0
scaffolds_gt1000bp_ERR2597525.bin.187.fa,61.78,19.64
scaffolds_gt1000bp_ERR2597525.bin.188.fa,89.05,102.04
scaffolds_gt1000bp_ERR2597525.bin.189.fa,56.05,7.53
scaffolds_gt1000bp_ERR2597525.bin.19.fa,76.38,6.52
scaffolds_gt1000bp_ERR2597525.bin.190.fa,13.72,0.64
scaffolds_gt1000bp_ERR2597525.bin.191.fa,45.21,0.0
scaffolds_gt1000bp_ERR2597525.bin.192.fa,25.11,0.27
scaffolds_gt1000bp_ERR2597525.bin.193.fa,48.91,4.69
scaffolds_gt1000bp_ERR2597525.bin.194.fa,81.45,1.07
scaffolds_gt1000bp_ERR2597525.bin.195.fa,16.35,0.23
scaffolds_gt1000bp_ERR2597525.bin.196.fa,59.69,0.91
scaffolds_gt1000bp_ERR2597525.bin.197.fa,7.14,0.0
scaffolds_gt1000bp_ERR2597525.bin.198.fa,35.89,4.43
scaffolds_gt1000bp_ERR2597525.bin.199.fa,36.81,0.83
scaffolds_gt1000bp_ERR2597525.bin.2.fa,4.59,0.0
scaffolds_gt1000bp_ERR2597525.bin.20.fa,73.96,0.35
scaffolds_gt1000bp_ERR2597525.bin.200.fa,5.67,0.02
scaffolds_gt1000bp_ERR2597525.bin.201.fa,74.64,1.93
scaffolds_gt1000bp_ERR2597525.bin.202.fa,65.73,20.59
scaffolds_gt1000bp_ERR2597525.bin.203.fa,77.6,2.13
scaffolds_gt1000bp_ERR2597525.bin.204.fa,79.01,3.48
scaffolds_gt1000bp_ERR2597525.bin.205.fa,25.79,0.37
scaffolds_gt1000bp_ERR2597525.bin.206.fa,9.16,0.16
scaffolds_gt1000bp_ERR2597525.bin.207.fa,14.7,0.37
scaffolds_gt1000bp_ERR2597525.bin.208.fa,57.1,12.77
scaffolds_gt1000bp_ERR2597525.bin.209.fa,65.42,3.99
scaffolds_gt1000bp_ERR2597525.bin.21.fa,9.39,0.01
scaffolds_gt1000bp_ERR2597525.bin.210.fa,17.57,0.0
scaffolds_gt1000bp_ERR2597525.bin.211.fa,21.22,0.0
scaffolds_gt1000bp_ERR2597525.bin.212.fa,10.1,0.18
scaffolds_gt1000bp_ERR2597525.bin.213.fa,6.04,0.1
scaffolds_gt1000bp_ERR2597525.bin.214.fa,50.98,2.27
scaffolds_gt1000bp_ERR2597525.bin.215.fa,15.37,0.05
scaffolds_gt1000bp_ERR2597525.bin.216.fa,78.32,0.66
scaffolds_gt1000bp_ERR2597525.bin.217.fa,9.33,0.01
scaffolds_gt1000bp_ERR2597525.bin.218.fa,17.38,0.47
scaffolds_gt1000bp_ERR2597525.bin.219.fa,19.13,1.43
scaffolds_gt1000bp_ERR2597525.bin.22.fa,24.57,0.0
scaffolds_gt1000bp_ERR2597525.bin.220.fa,18.13,0.48
scaffolds_gt1000bp_ERR2597525.bin.221.fa,44.01,1.24
scaffolds_gt1000bp_ERR2597525.bin.222.fa,60.15,5.84
scaffolds_gt1000bp_ERR2597525.bin.223.fa,83.02,7.33
scaffolds_gt1000bp_ERR2597525.bin.224.fa,25.09,0.15
scaffolds_gt1000bp_ERR2597525.bin.225.fa,22.96,0.11
scaffolds_gt1000bp_ERR2597525.bin.226.fa,6.87,0.0
scaffolds_gt1000bp_ERR2597525.bin.227.fa,62.91,0.67
scaffolds_gt1000bp_ERR2597525.bin.228.fa,12.06,0.14
scaffolds_gt1000bp_ERR2597525.bin.229.fa,7.02,0.0
scaffolds_gt1000bp_ERR2597525.bin.23.fa,23.94,0.06
scaffolds_gt1000bp_ERR2597525.bin.230.fa,14.54,0.13
scaffolds_gt1000bp_ERR2597525.bin.231.fa,10.76,0.01
scaffolds_gt1000bp_ERR2597525.bin.232.fa,4.52,0.11
scaffolds_gt1000bp_ERR2597525.bin.233.fa,70.44,6.07
scaffolds_gt1000bp_ERR2597525.bin.234.fa,22.79,0.85
scaffolds_gt1000bp_ERR2597525.bin.235.fa,52.35,2.47
scaffolds_gt1000bp_ERR2597525.bin.236.fa,72.01,5.03
scaffolds_gt1000bp_ERR2597525.bin.237.fa,79.1,11.32
scaffolds_gt1000bp_ERR2597525.bin.238.fa,25.95,1.32
scaffolds_gt1000bp_ERR2597525.bin.239.fa,16.19,0.0
scaffolds_gt1000bp_ERR2597525.bin.24.fa,14.54,0.0
scaffolds_gt1000bp_ERR2597525.bin.240.fa,27.5,0.25
scaffolds_gt1000bp_ERR2597525.bin.241.fa,79.32,2.41
scaffolds_gt1000bp_ERR2597525.bin.242.fa,77.04,23.34
scaffolds_gt1000bp_ERR2597525.bin.243.fa,15.61,0.01
scaffolds_gt1000bp_ERR2597525.bin.244.fa,8.68,0.0
scaffolds_gt1000bp_ERR2597525.bin.245.fa,19.3,0.07
scaffolds_gt1000bp_ERR2597525.bin.246.fa,31.45,0.12
scaffolds_gt1000bp_ERR2597525.bin.247.fa,14.74,0.01
scaffolds_gt1000bp_ERR2597525.bin.248.fa,10.57,0.0
scaffolds_gt1000bp_ERR2597525.bin.249.fa,20.11,0.11
scaffolds_gt1000bp_ERR2597525.bin.25.fa,68.08,0.09
scaffolds_gt1000bp_ERR2597525.bin.250.fa,7.26,0.0
scaffolds_gt1000bp_ERR2597525.bin.251.fa,8.28,0.0
scaffolds_gt1000bp_ERR2597525.bin.252.fa,84.54,1.07
scaffolds_gt1000bp_ERR2597525.bin.253.fa,79.38,2.22
scaffolds_gt1000bp_ERR2597525.bin.254.fa,17.5,0.01
scaffolds_gt1000bp_ERR2597525.bin.255.fa,59.73,4.41
scaffolds_gt1000bp_ERR2597525.bin.256.fa,94.19,45.18
scaffolds_gt1000bp_ERR2597525.bin.257.fa,18.54,0.0
scaffolds_gt1000bp_ERR2597525.bin.258.fa,28.35,0.31
scaffolds_gt1000bp_ERR2597525.bin.259.fa,76.71,1.46
scaffolds_gt1000bp_ERR2597525.bin.26.fa,34.29,0.81
scaffolds_gt1000bp_ERR2597525.bin.260.fa,6.9,0.0
scaffolds_gt1000bp_ERR2597525.bin.261.fa,52.57,1.96
scaffolds_gt1000bp_ERR2597525.bin.262.fa,55.75,1.08
scaffolds_gt1000bp_ERR2597525.bin.263.fa,9.02,0.02
scaffolds_gt1000bp_ERR2597525.bin.264.fa,81.82,2.55
scaffolds_gt1000bp_ERR2597525.bin.265.fa,56.41,1.03
scaffolds_gt1000bp_ERR2597525.bin.266.fa,5.51,0.0
scaffolds_gt1000bp_ERR2597525.bin.267.fa,27.33,0.05
scaffolds_gt1000bp_ERR2597525.bin.268.fa,36.39,1.04
scaffolds_gt1000bp_ERR2597525.bin.269.fa,89.51,3.3
scaffolds_gt1000bp_ERR2597525.bin.27.fa,97.66,1.91
scaffolds_gt1000bp_ERR2597525.bin.270.fa,36.83,1.56
scaffolds_gt1000bp_ERR2597525.bin.271.fa,38.71,0.1
scaffolds_gt1000bp_ERR2597525.bin.272.fa,45.29,0.31
scaffolds_gt1000bp_ERR2597525.bin.273.fa,4.88,0.01
scaffolds_gt1000bp_ERR2597525.bin.274.fa,57.22,13.77
scaffolds_gt1000bp_ERR2597525.bin.275.fa,5.77,0.0
scaffolds_gt1000bp_ERR2597525.bin.276.fa,8.27,0.0
scaffolds_gt1000bp_ERR2597525.bin.277.fa,11.29,0.01
scaffolds_gt1000bp_ERR2597525.bin.278.fa,54.23,4.05
scaffolds_gt1000bp_ERR2597525.bin.279.fa,6.58,0.01
scaffolds_gt1000bp_ERR2597525.bin.28.fa,25.42,0.01
scaffolds_gt1000bp_ERR2597525.bin.280.fa,12.61,0.0
scaffolds_gt1000bp_ERR2597525.bin.281.fa,9.98,0.0
scaffolds_gt1000bp_ERR2597525.bin.282.fa,8.8,0.0
scaffolds_gt1000bp_ERR2597525.bin.283.fa,42.65,0.41
scaffolds_gt1000bp_ERR2597525.bin.284.fa,67.37,0.14
scaffolds_gt1000bp_ERR2597525.bin.285.fa,48.77,0.82
scaffolds_gt1000bp_ERR2597525.bin.286.fa,87.23,4.13
scaffolds_gt1000bp_ERR2597525.bin.287.fa,59.54,7.77
scaffolds_gt1000bp_ERR2597525.bin.288.fa,6.62,0.18
scaffolds_gt1000bp_ERR2597525.bin.289.fa,73.97,1.35
scaffolds_gt1000bp_ERR2597525.bin.29.fa,25.11,0.15
scaffolds_gt1000bp_ERR2597525.bin.290.fa,7.68,0.0
scaffolds_gt1000bp_ERR2597525.bin.291.fa,4.21,0.05
scaffolds_gt1000bp_ERR2597525.bin.292.fa,60.9,3.48
scaffolds_gt1000bp_ERR2597525.bin.293.fa,18.81,0.04
scaffolds_gt1000bp_ERR2597525.bin.294.fa,69.63,1.17
scaffolds_gt1000bp_ERR2597525.bin.295.fa,69.33,2.11
scaffolds_gt1000bp_ERR2597525.bin.296.fa,50.94,0.95
scaffolds_gt1000bp_ERR2597525.bin.297.fa,8.91,0.0
scaffolds_gt1000bp_ERR2597525.bin.298.fa,43.46,3.47
scaffolds_gt1000bp_ERR2597525.bin.299.fa,26.76,0.46
scaffolds_gt1000bp_ERR2597525.bin.3.fa,85.24,2.97
scaffolds_gt1000bp_ERR2597525.bin.30.fa,27.4,0.22
scaffolds_gt1000bp_ERR2597525.bin.300.fa,29.79,0.03
scaffolds_gt1000bp_ERR2597525.bin.301.fa,34.42,0.66
scaffolds_gt1000bp_ERR2597525.bin.302.fa,29.14,0.03
scaffolds_gt1000bp_ERR2597525.bin.303.fa,53.47,3.21
scaffolds_gt1000bp_ERR2597525.bin.304.fa,17.91,0.18
scaffolds_gt1000bp_ERR2597525.bin.305.fa,5.46,0.1
scaffolds_gt1000bp_ERR2597525.bin.306.fa,39.32,3.18
scaffolds_gt1000bp_ERR2597525.bin.307.fa,9.95,0.0
scaffolds_gt1000bp_ERR2597525.bin.308.fa,23.48,0.17
scaffolds_gt1000bp_ERR2597525.bin.309.fa,54.6,11.21
scaffolds_gt1000bp_ERR2597525.bin.31.fa,62.92,13.96
scaffolds_gt1000bp_ERR2597525.bin.310.fa,10.03,0.0
scaffolds_gt1000bp_ERR2597525.bin.311.fa,11.25,0.2
scaffolds_gt1000bp_ERR2597525.bin.312.fa,5.38,0.09
scaffolds_gt1000bp_ERR2597525.bin.313.fa,7.12,0.0
scaffolds_gt1000bp_ERR2597525.bin.314.fa,51.57,1.74
scaffolds_gt1000bp_ERR2597525.bin.315.fa,65.88,1.62
scaffolds_gt1000bp_ERR2597525.bin.316.fa,40.87,1.39
scaffolds_gt1000bp_ERR2597525.bin.32.fa,48.29,0.6
scaffolds_gt1000bp_ERR2597525.bin.33.fa,56.19,3.67
scaffolds_gt1000bp_ERR2597525.bin.34.fa,96.22,2.73
scaffolds_gt1000bp_ERR2597525.bin.35.fa,86.07,55.03
scaffolds_gt1000bp_ERR2597525.bin.36.fa,8.4,0.02
scaffolds_gt1000bp_ERR2597525.bin.37.fa,12.77,0.2
scaffolds_gt1000bp_ERR2597525.bin.38.fa,5.04,0.0
scaffolds_gt1000bp_ERR2597525.bin.39.fa,40.42,5.67
scaffolds_gt1000bp_ERR2597525.bin.4.fa,15.84,0.01
scaffolds_gt1000bp_ERR2597525.bin.40.fa,83.36,0.39
scaffolds_gt1000bp_ERR2597525.bin.41.fa,28.69,1.37
scaffolds_gt1000bp_ERR2597525.bin.42.fa,68.09,3.28
scaffolds_gt1000bp_ERR2597525.bin.43.fa,14.26,0.0
scaffolds_gt1000bp_ERR2597525.bin.44.fa,36.82,1.55
scaffolds_gt1000bp_ERR2597525.bin.45.fa,25.04,0.39
scaffolds_gt1000bp_ERR2597525.bin.46.fa,82.97,0.99
scaffolds_gt1000bp_ERR2597525.bin.47.fa,11.55,0.32
scaffolds_gt1000bp_ERR2597525.bin.48.fa,7.8,0.03
scaffolds_gt1000bp_ERR2597525.bin.49.fa,68.28,6.78
scaffolds_gt1000bp_ERR2597525.bin.5.fa,8.3,0.0
scaffolds_gt1000bp_ERR2597525.bin.50.fa,4.94,0.0
scaffolds_gt1000bp_ERR2597525.bin.51.fa,18.91,0.07
scaffolds_gt1000bp_ERR2597525.bin.52.fa,70.82,1.81
scaffolds_gt1000bp_ERR2597525.bin.53.fa,34.1,0.06
scaffolds_gt1000bp_ERR2597525.bin.54.fa,45.69,7.6
scaffolds_gt1000bp_ERR2597525.bin.55.fa,6.11,0.06
scaffolds_gt1000bp_ERR2597525.bin.56.fa,73.46,6.28
scaffolds_gt1000bp_ERR2597525.bin.57.fa,32.49,0.95
scaffolds_gt1000bp_ERR2597525.bin.58.fa,51.23,15.48
scaffolds_gt1000bp_ERR2597525.bin.59.fa,77.78,1.33
scaffolds_gt1000bp_ERR2597525.bin.6.fa,9.48,0.0
scaffolds_gt1000bp_ERR2597525.bin.60.fa,27.74,0.4
scaffolds_gt1000bp_ERR2597525.bin.61.fa,94.58,1.3
scaffolds_gt1000bp_ERR2597525.bin.62.fa,64.08,3.57
scaffolds_gt1000bp_ERR2597525.bin.63.fa,8.74,0.04
scaffolds_gt1000bp_ERR2597525.bin.64.fa,45.07,6.62
scaffolds_gt1000bp_ERR2597525.bin.65.fa,81.8,1.64
scaffolds_gt1000bp_ERR2597525.bin.66.fa,80.94,5.53
scaffolds_gt1000bp_ERR2597525.bin.67.fa,73.05,6.03
scaffolds_gt1000bp_ERR2597525.bin.68.fa,27.08,0.59
scaffolds_gt1000bp_ERR2597525.bin.69.fa,65.33,25.85
scaffolds_gt1000bp_ERR2597525.bin.7.fa,74.73,4.52
scaffolds_gt1000bp_ERR2597525.bin.70.fa,35.94,0.34
scaffolds_gt1000bp_ERR2597525.bin.71.fa,33.72,0.82
scaffolds_gt1000bp_ERR2597525.bin.72.fa,37.38,0.02
scaffolds_gt1000bp_ERR2597525.bin.73.fa,17.52,0.06
scaffolds_gt1000bp_ERR2597525.bin.74.fa,44.87,1.32
scaffolds_gt1000bp_ERR2597525.bin.75.fa,10.98,0.07
scaffolds_gt1000bp_ERR2597525.bin.76.fa,18.89,0.0
scaffolds_gt1000bp_ERR2597525.bin.77.fa,29.57,0.22
scaffolds_gt1000bp_ERR2597525.bin.78.fa,47.64,2.15
scaffolds_gt1000bp_ERR2597525.bin.79.fa,91.62,36.42
scaffolds_gt1000bp_ERR2597525.bin.8.fa,13.64,1.51
scaffolds_gt1000bp_ERR2597525.bin.80.fa,43.03,0.26
scaffolds_gt1000bp_ERR2597525.bin.81.fa,83.89,5.3
scaffolds_gt1000bp_ERR2597525.bin.82.fa,72.89,4.0
scaffolds_gt1000bp_ERR2597525.bin.83.fa,11.37,0.04
scaffolds_gt1000bp_ERR2597525.bin.84.fa,67.27,2.97
scaffolds_gt1000bp_ERR2597525.bin.85.fa,38.63,0.67
scaffolds_gt1000bp_ERR2597525.bin.86.fa,53.8,3.52
scaffolds_gt1000bp_ERR2597525.bin.87.fa,84.11,2.21
scaffolds_gt1000bp_ERR2597525.bin.88.fa,73.22,17.61
scaffolds_gt1000bp_ERR2597525.bin.89.fa,6.94,0.03
scaffolds_gt1000bp_ERR2597525.bin.9.fa,60.68,1.65
scaffolds_gt1000bp_ERR2597525.bin.90.fa,26.89,0.15
scaffolds_gt1000bp_ERR2597525.bin.91.fa,10.33,0.2
scaffolds_gt1000bp_ERR2597525.bin.92.fa,11.0,0.0
scaffolds_gt1000bp_ERR2597525.bin.93.fa,64.85,28.89
scaffolds_gt1000bp_ERR2597525.bin.94.fa,41.87,2.48
scaffolds_gt1000bp_ERR2597525.bin.95.fa,79.07,1.61
scaffolds_gt1000bp_ERR2597525.bin.96.fa,41.88,0.47
scaffolds_gt1000bp_ERR2597525.bin.97.fa,55.59,2.06
scaffolds_gt1000bp_ERR2597525.bin.98.fa,7.86,0.0
scaffolds_gt1000bp_ERR2597525.bin.99.fa,100.0,118.79
